,Return,Volatility,Sharpe,Weights
0,0.3732232962542043,0.25059851815658585,1.369614229082321,"[0.05525071 0.07321389 0.2193015  0.033584   0.25745128 0.21382946
 0.14736916]"
1,0.30520881607058165,0.21425450750843034,1.284494871407795,"[0.07193463 0.07901885 0.30810786 0.07887155 0.02189398 0.22224487
 0.21792826]"
2,0.24014787255302955,0.2181910240263712,0.9631371111197978,"[0.16894653 0.10306423 0.1942134  0.16255675 0.11134139 0.16873148
 0.09114622]"
3,0.2561381460639149,0.22772149071935946,0.9930470126010379,"[0.21161328 0.16177311 0.20682598 0.06036394 0.09853682 0.16112925
 0.09975762]"
4,0.17846074431983003,0.20161436489867773,0.7363599532922155,"[0.1936453  0.04935451 0.15432463 0.24904921 0.01238506 0.21752126
 0.12372002]"
5,0.18012384272244805,0.21787083574078026,0.6890497400077142,"[0.17125326 0.16082566 0.08325764 0.20234819 0.09630394 0.19600657
 0.09000473]"
6,0.28000909447920863,0.23179838930640673,1.0785626907386736,"[0.03290468 0.14231308 0.08564022 0.1629888  0.17278404 0.19845477
 0.20491441]"
7,0.40861490929073463,0.2517182078092482,1.5041220600841423,"[0.02725085 0.0063352  0.17760138 0.0367292  0.26470601 0.2501859
 0.23719145]"
8,0.33766952243650067,0.23255218587348336,1.3230128165894077,"[0.02492588 0.05813614 0.10770631 0.22313276 0.12110459 0.09610763
 0.3688867 ]"
9,0.24254190941384393,0.23734745614504962,0.8954884660063669,"[0.1733061  0.04858492 0.00734131 0.16209164 0.23810924 0.28196519
 0.0886016 ]"
10,0.19994986471092085,0.25247518776434186,0.6731349175965385,"[0.05297867 0.24439849 0.05783731 0.25457646 0.23086928 0.12017807
 0.03916171]"
11,0.1259989513465789,0.20634154429523552,0.46524296246044694,"[0.13460098 0.12813655 0.00404641 0.2604092  0.00713467 0.30801473
 0.15765747]"
12,0.2829794816066197,0.25074970444572525,1.0088924418308818,"[0.13417229 0.14736542 0.01428936 0.15796389 0.22503284 0.12723109
 0.19394512]"
13,0.27749658350046436,0.2463265424092694,1.0047499594633653,"[0.18860038 0.16619336 0.07777872 0.12939907 0.18621435 0.08597517
 0.16583896]"
14,0.22811571688949817,0.2225043745394379,0.8903902105276724,"[0.23527048 0.15331076 0.11301537 0.12882242 0.03321109 0.13330217
 0.20306771]"
15,0.222594205790294,0.21829821625198054,0.8822527691567734,"[0.1784443  0.09038196 0.08265606 0.21944172 0.11309319 0.16385568
 0.1521271 ]"
16,0.2150544148454495,0.20754145763422,0.8916503572582465,"[0.09403831 0.12252192 0.22106859 0.11253571 0.08026175 0.31792259
 0.05165113]"
17,0.32664770968939016,0.2324400125744862,1.276233409229955,"[0.20681572 0.05825413 0.12947733 0.0094602  0.15075717 0.23181073
 0.21342473]"
18,0.257725783868379,0.2338726240255184,0.9737171454643248,"[0.10286396 0.26285698 0.14529289 0.01999421 0.05977132 0.20407596
 0.20514468]"
19,0.22849688039199853,0.24876808055796687,0.797919411311877,"[0.29469396 0.10989117 0.02521581 0.25249528 0.18371279 0.00646777
 0.12752321]"
20,0.21734666272283196,0.23188535792706666,0.807927953699245,"[0.26501302 0.15534622 0.28728497 0.18230999 0.01332096 0.01135447
 0.08537038]"
21,0.27785104934683774,0.23567263402546065,1.0516751356038283,"[0.20702316 0.05890958 0.0516237  0.11781082 0.2000989  0.21245913
 0.15207471]"
22,0.2490500105256841,0.21434338583065446,1.0219583388439528,"[0.03073009 0.06824995 0.13499787 0.30248272 0.04445899 0.13853017
 0.28055021]"
23,0.157303424310147,0.19943708666796633,0.6383136980038654,"[0.07980146 0.09898075 0.20930867 0.25280296 0.02250155 0.2871078
 0.04949681]"
24,0.2612070813818345,0.2673364849013579,0.8648541985099623,"[0.31311242 0.15132789 0.00055456 0.14886026 0.24104741 0.02498824
 0.12010923]"
25,0.21149097064384395,0.239727431363634,0.7570721865723692,"[0.14973698 0.11674702 0.00908497 0.2481458  0.22530497 0.17487202
 0.07610824]"
26,0.21930024108078805,0.22183780762167687,0.853327226365406,"[0.14873251 0.01877569 0.06214194 0.2575877  0.1927949  0.24126748
 0.07869978]"
27,0.2587242560135543,0.2371296609685496,0.9645535488025259,"[0.1392923  0.19449097 0.23862875 0.05377418 0.16481908 0.19083384
 0.01816087]"
