,Ticker,Benchmark,Alpha,Alpha Annualized (%),Beta,R Squared,Residual Volatility,Residual Vol Annualized (%)
0,AAPL,SPY,-0.0003062336601726944,-7.7170882363518984,1.1726358450325316,0.4826279145338883,0.01371045835933892,21.764677907710457
1,AAPL,VOO,-0.0003326372077367225,-8.382457634965407,1.2109319461168786,0.4749268006787092,0.013812121928379878,21.92606382035703
2,AAPL,QQQ,-0.00034189060770899263,-8.615643314266615,0.8544969250517125,0.41414225960089923,0.014589706783814882,23.160441510795707
3,META,SPY,-0.0009615393088961773,-24.230790584183666,1.4186657042089073,0.4302622414464484,0.018435056982912274,29.264745709254353
4,META,VOO,-0.0009988080535423746,-25.169962949267845,1.4723086543887831,0.42763370099468423,0.01847753400873256,29.33217589730684
5,META,QQQ,-0.0010894649958836154,-27.45451789626711,1.1150735603074047,0.4295587462398589,0.018446435001193546,29.282807753325347
6,GOOGL,SPY,0.0010259744939270757,25.854557246962308,1.0775743306707048,0.36501410839457515,0.016049739233383757,25.478171171381923
7,GOOGL,VOO,0.000993430144863235,25.03443965055352,1.1241361695495264,0.3665676354128399,0.01603009393656727,25.446985229496843
8,GOOGL,QQQ,0.0009130026137798427,23.007665867252037,0.8621277616610759,0.37757294789454265,0.01589022960346806,25.224957483895793
9,MSFT,SPY,-0.0009102047242792604,-22.937159051837362,0.8766005529316273,0.32454885995728333,0.014280788806532774,22.67004942475237
10,MSFT,VOO,-0.0009358746195614181,-23.584040412947736,0.9133734139022792,0.3251430222653554,0.014274506358593344,22.660076347828905
11,MSFT,QQQ,-0.0010009536669399212,-25.224032406886014,0.7002304585241091,0.3346578656105246,0.014173520643538473,22.499766495025774
12,GFS,SPY,0.0012607888104193663,31.77187802256803,1.7264407217706061,0.32004587279397445,0.028417043596905358,45.110658211855196
13,GFS,VOO,0.0012181265756702631,30.69678970689063,1.7880253965662365,0.31677970735820826,0.028485212587754192,45.21887313000254
14,GFS,QQQ,0.001032856475053934,26.027983171359136,1.4262627524811609,0.35298024787163707,0.02772029552324046,44.00460493422681
15,V,SPY,-0.00016753137994248186,-4.221790774550542,0.6653373113968384,0.2645605068521444,0.012526979784820959,19.885963913621808
16,V,VOO,-0.00018493476200405113,-4.6603560025020885,0.6903919444264911,0.2628656179034743,0.012541406274818888,19.908865256517455
17,V,QQQ,-0.0001054292176022175,-2.656816283575881,0.4058875114669469,0.15910911792192206,0.013395000198424219,21.263903602014796
18,C,SPY,0.0013823999012295347,34.836477510984274,1.2687511465677084,0.506316739037638,0.014147608612910409,22.458632421621846
19,C,VOO,0.0013384899314765012,33.72994627320783,1.331251326506322,0.5143877241976486,0.014031485896497548,22.27429332410562
20,C,QQQ,0.0013705816887978407,34.53865855770559,0.8988768247889984,0.4106881680382667,0.015457220992307156,24.53757762348706
