Date,AAPL,META,GOOGL,MSFT,GFS,V,C
2025-01-03,,,,,,,
2025-01-06,,,,,,,
2025-01-07,,,,,,,
2025-01-08,,,,,,,
2025-01-10,,,,,,,
2025-01-13,,,,,,,
2025-01-14,,,,,,,
2025-01-15,,,,,,,
2025-01-16,,,,,,,
2025-01-17,,,,,,,
2025-01-21,,,,,,,
2025-01-22,,,,,,,
2025-01-23,,,,,,,
2025-01-24,,,,,,,
2025-01-27,,,,,,,
2025-01-28,,,,,,,
2025-01-29,,,,,,,
2025-01-30,,,,,,,
2025-01-31,,,,,,,
2025-02-03,,,,,,,
2025-02-04,,,,,,,
2025-02-05,,,,,,,
2025-02-06,,,,,,,
2025-02-07,,,,,,,
2025-02-10,,,,,,,
2025-02-11,,,,,,,
2025-02-12,,,,,,,
2025-02-13,,,,,,,
2025-02-14,,,,,,,
2025-02-18,0.1451251925312464,6.114061777860345,-0.6602769354373846,-0.6244588741019048,1.5777722218190586,7.765447305895899,5.807986203464993
2025-02-19,0.24888622708066976,5.018713018827391,-0.7681427135103825,-0.5894495565446876,1.2038468884529925,7.296526184270825,5.093276171061643
2025-02-20,0.16892328811682256,3.488714336718304,-1.5582943221649488,-0.7544516226084484,0.4691594287076705,6.551107844425445,3.333277721416644
2025-02-21,0.46418428198677514,3.646950497553673,-2.00823176597113,-0.9333636953736012,-0.2588781988874637,6.451473155083685,2.3461745824616527
2025-02-24,0.5863866516112459,3.1388932961561675,-1.87177286985,-1.3952303333075933,0.12590478808772218,6.500685589202011,2.10397796976748
2025-02-25,1.3131014947519746,2.2355695973232987,-2.1331555633612136,-1.4478644468824218,0.033474782898181656,8.492663656931025,2.7386071839679347
2025-02-26,0.7904762611217117,3.4363153253012917,-2.364611030112299,-1.1832730763533337,0.09230664278438225,8.341346279679481,2.5585123876793148
2025-02-27,0.5586480271447155,3.4454630101660095,-2.7462162937311683,-1.5884777134607704,-0.9769552454320497,8.621357813355635,2.209820698684785
2025-02-28,0.5437511597649521,2.891985778033291,-3.361557295638175,-2.071856144861034,-1.0671072258867207,8.646318987083774,0.9796379882094743
2025-03-03,1.3442186698562308,2.4475238094853182,-3.4856335368665685,-2.5473336310121524,-1.4682366127404267,8.201355512029203,-0.3224569253364569
