,Ticker,Weight,Weight_Display
0,AAPL,0.0974795424751939,9.75%
1,META,0.010644951827690709,1.06%
2,GOOGL,0.15581366364889118,15.58%
3,MSFT,0.35270947488349946,35.27%
4,GFS,0.018294529698525443,1.83%
5,V,0.3510749459750637,35.11%
6,C,0.013982891491135654,1.40%
