Date,Max Sharpe Portfolio,Min Volatility Portfolio,Equal Weight Portfolio
2025-01-03,0.012309273117131451,0.00694330591481582,0.00915650905558377
2025-01-06,0.021759611566416467,0.0074954330524235595,0.016944332954051494
2025-01-07,0.00039234453842442243,-0.008383853365586598,-0.006810699002873613
2025-01-08,-0.008172756634346759,0.0008361814556144237,-0.008441030999475385
2025-01-10,-0.016677017875245514,-0.014592091929540203,-0.013662710247840635
2025-01-13,0.004020347976576014,-0.004164876451494341,-0.0028093697859081926
2025-01-14,0.0014488266519902702,-0.00030555438396450373,-0.001745224560855923
2025-01-15,0.04211365996335838,0.025566707556427138,0.031321109475685845
2025-01-16,-0.0069035842776375145,-0.006851805364081523,-0.011857995798557746
2025-01-17,0.018174015731340247,0.0108089081570197,0.016539672035797884
2025-01-21,0.01176123241925078,0.002667034916179967,0.0010191469545099022
2025-01-22,0.0012470323941008205,0.015254047321211462,0.007459818722077794
2025-01-23,0.0012204627681867766,0.0050408585195117995,0.0029742285180305934
2025-01-24,0.0029022794237293383,0.0015071650677439972,0.0026724687136746744
2025-01-27,-0.01713106624203244,-0.006452516637617988,-0.0022973333189797913
2025-01-28,0.003991605460744726,0.016640681379150785,0.013155973827327534
2025-01-29,0.0042338125276518675,-0.001599027140506242,0.002097018329308848
2025-01-30,0.018234721779554052,-0.010241772233947793,0.0019678659132453336
2025-01-31,0.003755056370674898,0.0005184426410737156,0.0003874498036663559
2025-02-03,-0.011357678536339856,-0.004940853387893031,-0.007285498811562279
2025-02-04,0.004142380655320573,0.006128556555034889,0.0033022174551554186
2025-02-05,-0.02310620093997831,-0.00615171061372247,-0.006498325778691266
2025-02-06,0.011066304526827705,0.000444265952191339,0.0003682079239401166
2025-02-07,-0.016776288611574465,-0.012167293008340662,-0.011060922769540215
2025-02-10,-0.002441202215147439,0.005965836219198537,-0.000573297660757691
2025-02-11,0.004263178959429942,0.0018253527829167739,0.012083709271010767
2025-02-12,0.003691000339151629,0.000740603950127868,0.014452074627140803
2025-02-13,0.010000232221469691,0.009376088273921456,0.006676081551471955
2025-02-14,0.010433228155479986,-0.0024409389696450176,0.00674410746832521
2025-02-18,0.0013818160493594216,0.0035805243024013803,0.00593082262195813
2025-02-19,-0.0007727644045872955,0.003983344822843646,-0.0017724055514025828
2025-02-20,-0.016421786987449668,-0.004097049124398152,-0.011243989440216
2025-02-21,-0.022858616473165408,-0.014258106631947109,-0.019560812977481974
2025-02-24,-0.007879996097061095,-0.002865555854991006,-0.008629843475258255
2025-02-25,-0.011947522303229693,-0.007069070108498889,-0.01036176855387876
2025-02-26,-0.002058306845134244,-0.004443584664514824,-0.0008742458745341236
2025-02-27,-0.01442189630053218,-0.007591143257188244,-0.01739817599975567
2025-02-28,0.012929361596903942,0.014950069771848228,0.014346795729101563
2025-03-03,-0.02565940356883214,-0.014528823834015193,-0.02314620166472233
2025-03-04,-0.01638085232633874,-0.007184073765643491,-0.011190328881348934
2025-03-05,0.010488051314887887,0.014266028930789534,0.013813142013454262
2025-03-06,-0.01708199046133168,-0.01373364986082003,-0.016034402422204327
2025-03-07,0.00617833012883437,0.001621079389636231,0.007946683991071455
