Date,AAPL,META,GOOGL,MSFT,GFS,V,C
2025-01-03,,,,,,,
2025-01-06,,,,,,,
2025-01-07,,,,,,,
2025-01-08,,,,,,,
2025-01-10,,,,,,,
2025-01-13,,,,,,,
2025-01-14,,,,,,,
2025-01-15,,,,,,,
2025-01-16,,,,,,,
2025-01-17,,,,,,,
2025-01-21,,,,,,,
2025-01-22,,,,,,,
2025-01-23,,,,,,,
2025-01-24,,,,,,,
2025-01-27,,,,,,,
2025-01-28,,,,,,,
2025-01-29,,,,,,,
2025-01-30,,,,,,,
2025-01-31,,,,,,,
2025-02-03,,,,,,,
2025-02-04,,,,,,,
2025-02-05,,,,,,,
2025-02-06,,,,,,,
2025-02-07,,,,,,,
2025-02-10,,,,,,,
2025-02-11,,,,,,,
2025-02-12,,,,,,,
2025-02-13,,,,,,,
2025-02-14,,,,,,,
2025-02-18,0.29525837450705267,0.24586236911424109,0.3432074108778993,0.2779119478105603,0.4736696744260174,0.13603181875562664,0.288287617276579
2025-02-19,0.29520080287812134,0.25502886101432837,0.34199115709602973,0.27835257930228013,0.472451999243469,0.13806578505003334,0.29029958885225976
2025-02-20,0.2947885002098227,0.2344971337927727,0.33201839664508503,0.27691864749692385,0.4786556496851053,0.14428046196894878,0.30376395937240624
2025-02-21,0.2927419012104541,0.2318885396091919,0.339362780360228,0.27985366312224613,0.49875209807085075,0.14492581439556862,0.31091243765451276
2025-02-24,0.29317930221463795,0.24010636616821127,0.3389918118265283,0.28052101727869483,0.48565340171565635,0.14490370300255764,0.313820968585447
2025-02-25,0.28356441653870657,0.24572037088053206,0.34281371494689206,0.28126119806850536,0.48744520137098235,0.1326929500431464,0.3033514162589178
2025-02-26,0.29362409398227607,0.24997610517453225,0.344678966356857,0.28168213916726526,0.48728185863533613,0.13350970323458625,0.3007838120468402
2025-02-27,0.2958894442025459,0.2497936674358611,0.3500710009925925,0.2858118400299844,0.5125577200050246,0.13648426517850792,0.3004978641223694
2025-02-28,0.29559151704123765,0.22976608067453358,0.33719555815125196,0.2768424908690047,0.5111509204159274,0.1325260296490894,0.2387912768454308
2025-03-03,0.27358327959828027,0.23631646185872154,0.338936816845504,0.2823908527451426,0.5259699777240777,0.1340619114555095,0.260230835046264
2025-03-04,0.2745941958889009,0.24750857574996074,0.3434862302621666,0.27978078266367623,0.5031538572821371,0.16094847693720832,0.31034609487668874
2025-03-05,0.2563536387759968,0.2570025567458332,0.34420962394035143,0.2976229718017849,0.5067956018684102,0.15865050682155118,0.30399775667550993
2025-03-06,0.2563894611186368,0.2873869261221466,0.3437625246692991,0.2685833504873844,0.5070289214197511,0.17695266440896532,0.3153383097100317
2025-03-07,0.25944987895923544,0.2809832621919539,0.3458343721669322,0.26860971252861027,0.5214368914965873,0.17319707268370793,0.31454863982680664
2025-03-10,0.29812343825244475,0.3029656075235421,0.3620576968930852,0.28180637039263917,0.5216740785134713,0.17665514012086775,0.3339422477249327
2025-03-11,0.29561180528130004,0.29962665169411057,0.34608071409731067,0.2778571442828162,0.5509006300954291,0.19131619325358248,0.33458758906532265
2025-03-12,0.27664395433439587,0.3003286586277896,0.3463857110808411,0.26193454800865584,0.5512544634118604,0.1914241053981941,0.3354757468719206
2025-03-13,0.28950115818021055,0.3256194112210544,0.3512754458526492,0.2621144210545805,0.5510325569082869,0.19452263552297858,0.3333310583745032
2025-03-14,0.2964513693082403,0.3354952335576226,0.34335688136724735,0.2159568984892828,0.5608381795144711,0.18593242061909818,0.3383005873502795
2025-03-17,0.2967304647409407,0.3348376962068024,0.33705050709133944,0.2159746044217608,0.5672493919795079,0.18765949705695353,0.34436667713146957
2025-03-18,0.28224317871585924,0.34455760719443235,0.3393662429361616,0.21726095408144894,0.567249466671776,0.18403299711865742,0.3436162298045554
2025-03-19,0.27698126782395,0.34249248284203615,0.3350571782553603,0.2201253880484173,0.5644310028188464,0.18987760960754657,0.34759199471776325
2025-03-20,0.2770867268693016,0.3429741312748177,0.27144832752057196,0.21978409334594692,0.5652752728950161,0.18594951654823877,0.34545018641829994
2025-03-21,0.2839506933257307,0.3466159346469438,0.2732267831127931,0.22202257611192758,0.5484616799412653,0.18794413469551144,0.3253694506899862
2025-03-24,0.2785905953654725,0.36815573693074566,0.27144124402891406,0.219424971475019,0.554044844332145,0.20188675516362614,0.33881839075183406
2025-03-25,0.2817161020859248,0.3704963200902572,0.2765720093855272,0.2192237790427074,0.5538610548845551,0.20003360467849618,0.33863838437191085
2025-03-26,0.2748686083265615,0.37431401917083656,0.2893775839736579,0.22191506034287203,0.5232685915311011,0.2000335570804732,0.34031592806112726
2025-03-27,0.27090038051138776,0.37305957482758706,0.2915807784050891,0.22173131153605852,0.45635296513852935,0.20595064737536725,0.34297149578464153
2025-03-28,0.2722948837836465,0.38667884679858455,0.31406874132420176,0.23624429234397326,0.46099565267911624,0.21062995881719893,0.34382805952250584
2025-03-31,0.27637748866434086,0.3832525781852429,0.3149155261309723,0.23688296792446864,0.4597511927840737,0.22077293705948586,0.3300321584237257
2025-04-01,0.27722503482602845,0.38493624120202197,0.3209078137147506,0.24395809866133208,0.41107903081662556,0.22169966370358596,0.3295679524635559
2025-04-02,0.27747149291014567,0.3835257818340368,0.3188412570112854,0.24008018394991684,0.42804726715528485,0.22148644900943373,0.3362023064287546
2025-04-03,0.3790826498566735,0.45370110685588316,0.33450443845414174,0.24642121351987523,0.4693339290192118,0.22560584117013702,0.47170314597599955
