,Ticker,VaR (%),CVaR (%)
0,AAPL,-3.173289893347188,-4.374658239998712
1,META,-3.3257293305338944,-5.514010812479891
2,GOOGL,-2.6342216826427425,-4.0768466837601105
3,MSFT,-2.691274846853941,-3.9181293976305533
4,GFS,-4.858736082025103,-6.597599660903622
5,V,-2.2258379006399527,-3.37758560506157
6,C,-3.0520092283191795,-4.69184622492339
